#,Song,Artist,Notes,Rating
1,PUT YOU ON GAME,Russ,Solid advice,5
2,Grateful,El Michels Affair & Black Thought,I like Black Thought's flows and rhymes but his lyrics get sort of lost for me sometimes. Like each line has nothing to do with the next or the chorus or anything. Or some whole lines don't make sense. Maybe I'm just not sophisticated enough to get him. ,4
3,Can't Get This Right,Russ,I love how versatile Russ is,5
4,That Girl,El Michels Affair & Black Thought,,3
5,3:15 (Breathe),Russ,I like the combination of singing and rapping Russ has,5
6,The Weather,El Michels Affair & Black Thought,Great vestibule lyric,3
7,Said It Freestyle,Russ,"Shout out to one of my all time favorite lines in a song ""Star Trek roof in that Wraith of Kahn""",4
8,I Would Never,El Michels Affair & Black Thought,,3
9,CHANT (feat. Tones And I),Macklemore,Love it. Vintage Macklemore. ,5
10,NO BAD DAYS (feat. Collett),Macklemore,,4
11,1984,Macklemore,,4
12,I NEED,Macklemore,,3
13,LOST / SUN COMES UP (feat. jackson lee morgan),Macklemore,"I like bits of the song, but the overall message and theme are overdone/tired (more so on Part 1: LOST)",3
14,TEARS,Macklemore,Sort of reminds me of '25 To Life' by Eminem with the relationship metaphor,4
15,The Lows,Quinn XCII,,5
16,Bartenders (feat. Toine Jameson),"Oddisee, Toine Jameson",,4
17,Hard to Tell,Oddisee,,3
18,Gangsta's Paradise,"Coolio, Bodybangers & Lotus",So freaking good,5
19,Curious (feat. Fabolous),"Eric Bellinger, Cordae, Fabolous",,3
20,Die For You (Remix),The Weeknd & Ariana Grande,,3
21,Lost,LINKIN PARK,,4
22,Lightsabers (feat. C Dot Castro),Logic,,5
23,Adonis Interlude (The Montage),Dreamville & J. Cole,,5
24,on the street,j-hope & J. Cole,"Despite some slightly triggering lines about belief in god (from some harsh words from my dad after I left the church) I like this one overall. It gets 3 instead of 4 because I likely won't search it out, as per my rating guide",3
25,Nostalgia,Bryce Vine,"The way my brain works, I can't help wondering if he thinks that's the correct pronunciation of nostalgia or if it's just artistic license",5
26,Hold Me Like a Grudge,Fall Out Boy,,4
27,Understudies,The Hold Steady,"Such an interesting song, and I can't tell you why exactly but I love it.",5
28,Sleepwalking,All Time Low,,4
29,VHS,Andrew McMahon in the Wilderness,,5
30,BULLET,NF,"When I hear this song I always think about the ""I would climb the highest mountain"" song Bret sings in Flight of the Conchords. Taking a bullet is so dramatic. What are the actual, likely things he would do for her?",4
31,Khalas (feat. Jay Electronica),Swizz Beatz,The Star Wars reference elevates this to a 4,4
32,In My Head - Spooky Version,Mike Shinoda & Kailee Morgue,,5
33,They Don't Love It,Jack Harlow,,4
34,Ambitious,Jack Harlow,,4
35,Gang Gang Gang,Jack Harlow,,4
36,It Can't Be,Jack Harlow,,5
37,Blame On Me,Jack Harlow,,4
38,"BILLIE EILISH LEGENDS MIX. (feat. Ludacris, Busta Rhymes & N.O.R.E.)",Armani White,,5
39,Okay,Atmosphere,,4
40,Flinch,"Locksmith, Ekoh & Joznez",,4
41,When Love Sucks (feat. Dido),Jason Derulo,,4
42,Wicked Race,Russ,,5
43,Blow the Whistle,Russ,,5
44,Buckle Up Freestyle,Russ,,4
45,Easy,Russ,,4
46,Reflection,Russ,,5
47,Perfectionist,Russ,,0
48,Juice II,Logic,,0
49,On My Soul,"Tobe Nwigwe, Nas & Jacob Banks",,0
50,A Beautiful Game,Ed Sheeran,,0
51,Told You So,The Band CAMINO,,0
52,Is It Just Me?,Black Milk,,0
53,Fragile,Ben Folds,,0
54,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",,0
55,Nas Morales,Metro Boomin & Nas,,0
56,BLOOD AND SUGAR,BOYS LIKE GIRLS,,0
57,Devil's Work 2,Joyner Lucas,,0
58,Barcelona,Kota the Friend & Samm Henshaw,,0
59,Lovin' Life,Barenaked Ladies,,0
60,Symphony (Inner City Youth Orchestra of Los Angeles Version),Imagine Dragons,,0
61,Doomsday,"Lyrical Lemonade, Juice WRLD & Cordae",,0
62,True Babe,Gwen Stefani,,0
63,We Didn’t Start The Fire,Fall Out Boy,,3
64,Calling Your Name,Jon Batiste,,0
65,Drink Water (feat. Jon Bellion & Fireboy DML),Jon Batiste,,0
66,Uneasy (feat. Lil Wayne),"Jon Batiste, Lil Wayne",,0
67,CHANNEL No3,Lupe Fiasco,,0
68,Down Here Waiting,Blue October,,0
69,Come 2 Far (feat. Kid Capri),Dave East & Cool & Dre,,0
70,Still Here,Dave East,,0
71,Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),Dominic Fike,,0
72,Extra,Lecrae,,0
73,Speedometer,Post Malone,,0
74,Laugh It Off,Post Malone,,0
75,Realest,Ez Mil & Eminem,,0
76,how to exit a room,The Maine,,0
77,Too Old,Barenaked Ladies,,0
78,Forever,"Ciara, Lil Baby",,0
79,Fraud (feat. Justin Nozuka),Russ,,0
80,I Love You Boy,Russ,,0
81,Enough,Russ,,0
82,Adventure (feat. Rexx Life Raj),Russ,,0
83,Oasis,Russ,,0
84,Tunnel Vision (feat. Bibi Bourelly),Russ,,0
85,Drug Trade (feat. Black Thought),Smoke DZA & Flying Lotus,,0
86,Limbo (feat. Russ),Statik Selektah,,0
87,Thunderdome [W.T.A.] (feat. Black Thought & Natalia Lafourcade),Portugal. The Man,,0
88,Plastic Island,Portugal. The Man,,0
89,Summer of Luv (feat. Unknown Mortal Orchestra),Portugal. The Man,,0
90,Peaches,Jack Black,,5
91,Never Die (feat. Lil Wayne),Nas,,0
92,Based On True Events,Nas,,0
93,"Based On True Events, Pt. 2",Nas,,0
94,Sitting With My Thoughts,Nas,,0
95,I Am Asking You To,Barenaked Ladies,,0
96,Victor,VIC MENSA,,0
97,Flowers (feat. MAVI),TOBi,,0
98,Flatline (feat. Kenny Mason),TOBi,,0
99,Beautiful Day (Thank You for Sunshine),"Trinix, Rushawn & Jermaine Edwards",,0
100,I Tried to Draw a Straight Line,Petey,,0
101,Home Alone House,Petey,,0
102,Did I Mention I’m Sorry,Petey,,0
103,Living Like This,Petey,,0
104,Family of Six,Petey,,0
105,The Freedom to Fuck Off,Petey,,0
106,Without You,"Brady Watt, Conway the Machine & Talib Kweli",,0
107,ART DEALER,Nick Grant & Ransom,,0
108,CONCEIVE,Nick Grant,,0
109,Landmines,Sum 41,,0
110,Coming of Age,DURRY,,0
111,Who's Laughing Now,DURRY,,5
112,Worse For Wear,DURRY,,0
113,I'm Fine (No Really),DURRY,,0
114,Mall Rat,DURRY,,5
115,Little Bit Lonely,DURRY,,0
116,Bubble of My Gum (LC Version),DURRY,,5
117,Midnight,Ed Sheeran,,0
118,3D (Alternate Ver.),Jung Kook & Jack Harlow,,0
119,First Person Shooter (feat. J. Cole),Drake,,0
120,Already Over,Mike Shinoda,,0
121,THE OUTSIDE (feat. The Summer Set & The Ready Set) [OUTSIDERS VERSION],"BOYS LIKE GIRLS, 3OH!3 & State Champs",,0
122,ONE MORE TIME,blink-182,,5
123,YOU DON'T KNOW WHAT YOU'VE GOT,blink-182,,0
124,TV,Windser,,0
125,Who's Gonna Hear Their Wish?,Goo Goo Dolls,,0
126,Now And Then,The Beatles,,0
127,Don't Front (feat. Buckshot),Eminem,,5
128,Moonlight,Chris Brown,,0
129,Mindful Solutionism,Aesop Rock,,5
130,Infinity Fill Goose Down,Aesop Rock,,0
131,Pigeonometry,Aesop Rock,,0
132,100 Feet Tall,Aesop Rock,,5
133,Time Moves Differently Here,Aesop Rock,,0
134,Aggressive Steven,Aesop Rock,,0
