#,Song,Artist,Notes,Rating
1,Revolution,Bastille,,0
2,Back To The Future,Bastille,Love the book references ,0
3,Real Life,Bastille,,0
4,Less Than Zero,The Weeknd,,0
5,Phantom Regret by Jim,The Weeknd,,0
6,Parables (Remix) [feat. Eminem],Cordae,,0
7,Ready for the High,The Wombats,Love the wimmelbilder album art,0
8,Loved You A Little,"The Maine, Taking Back Sunday, Charlotte Sands",,0
9,High,The Chainsmokers,,0
10,Gospel,"Dr. Dre, Eminem",,0
11,HANDSOMER,Russ,,0
12,City of Gods,"Fivio Foreign, Kanye West, Alicia Keys",,0
13,Southside of the Moon,Big K.R.I.T.,Reminds me of Brain from Pillow Talking by Lil' Dicky,0
14,WHAT ARE YALL,Russ,,0
15,Pros and Cons,"eLZhi, Georgia Anne Muldrow",Killing it with the wordplay as usual,0
16,Hamster Wheel,Locksmith,,0
17,Johnny P's Caddy,"Benny the Butcher, J. Cole",,0
18,American Dream,Bryce Vine,,0
19,Handle Your Bars (feat. Nuabaa-Sorelle (Spirit of Grace)),Flobots,,0
20,A Little Bit of Love,Weezer,,0
21,Bet It,Dave East,,0
22,Dirty Work,Grip,,0
23,pretty toxic revolver,Machine Gun Kelly,,0
24,"die in california (feat. Gunna, Young Thug & Landon Barker)",Machine Gun Kelly,,0
25,Hear Me Clearly,"Pusha T, Nigo",,0
26,Emo Stick,Grip,,0
27,Bet On Me,"Walk Off the Earth, D Smoke",,0
28,Sos 2,Jon Connor,,0
29,Million Pictures of You,Simple Plan,,0
30,Nail Tech,Jack Harlow,,0
31,I Ain't Worried,OneRepublic,,0
32,Die Hard,"Kendrick Lamar, Blxst, Amanda Reifer",,0
33,Father Time (feat. Sampha),Kendrick Lamar,,0
34,Auntie Diaries,Kendrick Lamar,,0
35,Losing My Mind,Mayday Parade,,0
36,True Love,"Kanye West, XXXTENTACION",,0
37,I Like You (A Happier Song) [feat. Doja Cat],Post Malone,,0
38,Missing Piece,Vance Joy,,0
39,Catalonia,Vance Joy,,0
40,Blinding Lights,All Time Low,,0
41,Never Settle,Ne-Yo,,0
42,Back From London Freestyle,Russ,,0
43,Cold Wind Blows Freestyle,Russ,,0
44,Are You Entertained,"Russ, Ed Sheeran",,0
45,Therapy Music (feat. Russ),Logic,Monstar Anthem vibes,0
46,Vinyl Days (feat. DJ Premier),Logic,,0
47,Heavy Heart,Bartees Strange,,0
48,One Step Ahead,Jack Johnson,,0
49,Any Wonder,Jack Johnson,,0
50,Records,Weezer,,0
51,Our Love,Coheed and Cambria,,0
52,From The D 2 The LBC,"Eminem, Snoop Dogg",,0
53,Waves,Imagine Dragons,,0
54,Sirens,Imagine Dragons,,0
55,Here to Forever,Death Cab for Cutie,,0
56,Roman Candles,Death Cab for Cutie,,0
57,The 30th,Billie Eilish,,0
58,CHANT,"Macklemore, Tones And I",,0
59,The Chairman,Joey Cool,,0
60,Bumpy Johnson Back,Joey Cool,,0
61,Mega Grit,"Joey Cool, Tech N9ne",,0
62,Idle Hands,"Joey Cool, King Iso",,0
63,boy,The Killers,,0
64,Every Shade of Blue (Acoustic),The Head and the Heart,,0
65,Experience,Duncan Sheik,,0
66,Something Happening Here,Duncan Sheik,,0
67,Ready Or Not,"Calvin Harris, Busta Rhymes",,0
68,I Ain't Worried (Acoustic),OneRepublic,,0
69,Aquamarine (feat. Michael Kiwanuka),"Danger Mouse, Black Thought",,0
70,No Gold Teeth,"Danger Mouse, Black Thought",,0
71,"Because (feat. Joey Bada$$, Russ, and Dylan Cartlidge)","Danger Mouse, Black Thought",,0
72,Sometimes,"Danger Mouse, Black Thought",,0
73,The Darkest Part (feat. Raekwon and Kid Sister),"Danger Mouse, Black Thought",,0
74,Belize (feat. MF DOOM),"Danger Mouse, Black Thought",,0
75,Identical Deaths,"Danger Mouse, Black Thought",,0
76,Eazy,"The Game, Kanye West",,0
77,Violence,"The Game, Hit-Boy",,0
78,Home Invasion,The Game,,0
79,Heart Vs. Mind,The Game,,0
80,The Black Slim Shady,The Game,,0
81,The King and I (feat. CeeLo Green) [From the Original Motion Picture Elvis],Eminem,,0
82,Can't Help Falling in Love,Kacey Musgraves,,0
83,If I Can Dream (Stereo Mix),Elvis Presley,,0
84,Can't Help Falling in Love (Mark Ronson Remix),"Elvis Presley, Mark Ronson",,0
85,"Unchained Melody (Live at Ann Arbor, MI)",Elvis Presley,,0
86,Don't Let The Light Go Out,Panic! At the Disco,,0
87,Say It Louder,Panic! At the Disco,,0
88,Is What It Is,"REASON, Jay Rock",,0
89,Barely Miss,REASON,,0
90,Compliance,Muse,,0
91,This World,Bret McKenzie,,0
92,Not Love,Token,,0
93,Talk,S. Raekwon,,0
